"CREATEUSERID";"TITLE";"ABSTRACT";"TYPDOC"
"Solis Maikol";"Using the package `simple features` (sf) for sensitivity analysis";"The curse of dimensionality is a commonly encountered problem in statistics and data analysis. Variable sensitivity analysis methods are a well studied and established set of tools designed to overcome these sorts of problems. In most cases, those methods require a functional or computer code producing the output variable. Also, they fail to capture relevant features and patterns hidden within the geometry of the enveloping manifold projected onto a variable. In this talk we propose an index that captures, reflects and correlates the relevance of distinct variables within a model by focusing on the geometry of their projections. We first construct the 2-simplices of a Vietoris-Rips complex and then estimate the area of those objects from a data-set cloud. Afterwards, through affine transformations we propose our geometric sensitivity index. As a side result, we could also estimate the regression curve of the data-set generate solely by the estimated manifold. We compile all the analysis in an original package called TopSA (https://github.com/maikol-solis/TopSA), short for Topological Sensitivity Analysis. The package exploits the facility of the package `simple features` (sf) to handle all the geometric operations. The package returns the estimated indexes and has implemented a plot function using `ggplot` together with `geom_sf`.";"oral presentation"
"Rickert Joseph";"R Consortium Working Groups";"R Consortium (ISC) working groups are where the difficult collaborative work gets done, and there is a lot going on! In this talk, I will describe what is happening in some of the high profile working groups including the R / Medicine and R / Pharma conference planning groups; the R Validation Hub group that is developing validation standards for R packages for the pharmaceutical industry; The Census group that is working with the U.S. Census Bureau to improve the accessibility of Census Data, the R Certification group, which is attempting to establish a common certification program for proficiency in R; and the R Community Diversity and Inclusion Working Group (RCDI-WG) is to broadly consider how the R Consortium can best encourage and support diverse and inclusive community activities. Working groups are generally open to all interested individuals whether or not their companies are members of the R Consortium. I'll describe how you can get involved, or perhaps even start your own working group.  ";"oral presentation"
"Amaya-Carvajal Victor";"Topological data analysis and statistical learning for galaxies' classification.";"Modern telescopes produce data whose complexity poses, both, mathematical and computational challenges in the extraction of information and knowledge from the astronomical objects. In this talk, we present advances on a study of radio galaxies using techniques of topological analysis of data using the Mapper algorithm and statistical learning (t-SNE) tools.";"poster"
"Chamberlain Scott";"HTTP Requests For R Users and Package Developers";"Many R users request data from the web in their scripts and packages. This talk introduces a modern suite of packages for managing HTTP requests. The crul package is a modern HTTP request library, including asynchronous requests, automatic handling of pagination, and more. Importantly, crul provides an R6 based object system that makes it easier to program with relative to other tools. The webmockr package mocks HTTP requests, returning user specified mocked responses matching the format of the real thing. The vcr package leverages webmockr to cache HTTP requests and responses. Both webmockr and vcr support many HTTP libraries. Last, httpcode provides information on all HTTP codes, and fauxpas provides proper HTTP error classes for use in most HTTP R libraries. These tools together provide a modern way for R programmers to manage HTTP requests.";"oral presentation"
"Valcarcel Alessandra";"rtapas: an R package for subject-specific threshold detection in automatic lesion segmentation using multi-modal MRI";"Total brain white matter lesion (WML) volume is the most widely established magnetic resonance imaging (MRI) outcome measure in studies of multiple sclerosis (MS). To estimate WML volume there are a number of automatic segmentation methods, many of which are available in R, yet manual delineation remains the gold standard approach. These approaches often yield a probability map to which a threshold is applied to create lesion segmentation masks. Unfortunately, few approaches systematically determine the threshold employed; many methods use a manually selected threshold, thus introducing human error and bias into the automated procedure. We developed and validated an automatic thresholding algorithm, Thresholding Approach for Probability Map Automatic Segmentation in Multiple Sclerosis (TAPAS), to obtain subject-specific threshold estimates for probability map automatic segmentation of T2-weighted (T2) hyperintense WMLs. We implemented an R package, rtapas, to disseminate the approach for fitting the TAPAS model and predicting subject-specific thresholds for automatic segmentation. The rtapas package provides an intuitive and unified interface for its main functions to allow imaging statisticians and neurologists to automatically generate lesion segmentation masks from probability maps using subject-specific thresholds.";"poster"
"Gasparini Alessandro";"Analysing results from Monte Carlo simulation studies using the rsimsum package and the INTEREST shiny app";"Monte Carlo simulation studies are computer experiments that involve generating data by pseudo-random sampling; they provide an invaluable tool for statistical and biostatistical research. Consequently, dissemination of results plays a focal role to drive adoption and further development of new methods. However, simulation studies are often poorly designed, analysed, reported. One of the aspects often poorly reported - often not reported at all - is the Monte Carlo error of summary statistics, defined as the standard deviation of the estimated quantity over replications. Monte Carlo errors play a crucial role in understanding how results are affected by chance.
In order to aid researchers interested in running and analysing simulation studies, we developed rsimsum and INTEREST. rsimsum is an R package for analysing results from simulation studies: it computes the most common summary statistics and Monte Carlo errors are reported by default. INTEREST is a shiny app providing an interface to rsimsum, offering tools to analyse simulation studies interactively and export plots and tables of summary statistics for later use. rsimsum and INTEREST can aid investigating results from simulation studies and supplement the reporting of their results to a great extent, allowing researches to share the full results of their simulation study and readers to explore them freely and in a more engaging way.";"oral presentation"
"Martin Emma";"merlin - mixed effects regression for linear and nonlinear models";"The rise in availability of electronic health record data raises both challenges and opportunities for new and complex analyses. The merlin package in R provides an extended framework for the analysis of a range of data types, encompassing any number of outcomes of any type, each of which could be repeatedly measured (longitudinal), with any number of levels and with any number of random effects at each level. Many standard distributions are described, as well as non-standard user-defined non-linear models. The extension focuses on a complex linear predictor for each outcome model, allowing sharing and linking between outcome models in a flexible way, either by linking random effects directly, or the expected value of one outcome (or function of it) within the linear predictor of another. Non-linear and time-dependent effects are also seamlessly incorporated to the linear predictor through the use of splines or fractional polynomials. merlin allows level-specific random effect distributions and numerical integration techniques to improve usability, relaxing the normally distributed random effects assumption to allow multivariate t-distributed random effects. We will take a single dataset of patients with primary biliary cirrhosis and attempt to show the full range of capabilities of merlin.";"oral presentation"
"Musy Sarah";"Variation of patient turnover on a 30-minutes basis for 3 years: analysis of routine data of a Swiss University Hospital";"Introduction Hospitals face widely varying care demands intensifying nurses' work, since the number of admissions, discharges and transfers within and between units is fluctuating throughout the day. The objective was to describe patients' movements for a large Swiss University Hospital.    Methods Data from 2015 to 2017 were used containing patients' movements time and dates. With padr package, continuous time was extracted between each movement of the patient for an interval of 30 minutes. The first and last movements were recognized as admission and discharge, respectively. For the transfers, the use of the functions lead() and lag() from dplyr package were used. The goal was to identify for each unit if the patient was coming in or out. Finally, the amount of entries (admissions and transfers in) was plotted against exits (discharges and transfers out) on a pyramid bar chart using ggplot2 and scales packages.   Results Ten departments and 77 units were analyzed with 85,706 patients' observations. The final data comprised of more than 26 million data points. Patient flow varies considerably. While for some units entries and exits occur at the same time, other units have volatile periods with different times of the day where entries and exits occur leading to substantially variation in patient load.   Conclusion It is the first analysis of patient movements conducted on this level of granularity.";"oral presentation"
"Chauvel Cecile";"Evaluation of integrative clustering methods for the analysis of multi-omics data";"Recent advances in sequencing, mass spectrometry and cytometry technologies have enabled researchers to collect large-scale omics data from the same set of biological samples. The joint analysis of multiple omics offers the opportunity to uncover coordinated cellular processes acting across different omic layers. In this work, we present a thorough comparison of a selection of recent integrative clustering approaches, including Bayesian and matrix factorization approaches. Based on simulations, the methods were evaluated on their sensitivity and their ability to recover both the correct number of clusters and the simulated clustering at the common and data-specific levels. Standard non-integrative approaches were also included to quantify the added value of integrative methods. For most matrix factorization methods and one Bayesian approach, the shared and specific structures were successfully recovered with high and moderate accuracy, respectively. An opposite behavior was observed on non-integrative approaches, i.e. high performances on specific structures only. Finally, we applied the methods on the TCGA breast cancer data set to check whether results based on experimental data were consistent with those obtained in the simulations. Chauvel, Novoloaca, Veyre, Reynier and Becker (2019) Briefings in Bioinformatics https://doi.org/10.1093/bib/bbz015";"poster"
"Hennequet-Antier Christelle";"ViSEAGO: Easier data mining of biological functions organized into clusters using Gene Ontology and semantic similarity";"The main objective of ViSEAGO workflow is to carry out a data mining of biological functions and establish links between genes involved in the study. We developed ViSEAGO in R to facilitate functional Gene Ontology (GO) analysis of complex experimental design with multiple comparisons of interest. It allows to study large-scale datasets together and visualize GO profiles to capture biological knowledge. The acronym stands for three major concepts of the analysis: Visualization, Semantic similarity and Enrichment Analysis of Gene Ontology. It provides access to the last current GO annotations, which are retrieved from one of NCBI EntrezGene, Ensembl or Uniprot databases for available species. ViSEAGO extends classical functional analysis to focus on functional coherence by aggregating closely related biological themes while studying multiple datasets at once. It provides both a synthetic and detailed view using interactive functionalities respecting the GO graph structure and ensuring functional coherence supplied by semantic similarity. ViSEAGO has been successfully applied on several datasets from different species with a variety of biological questions. Results can be easily shared between bioinformaticians and biologists, enhancing reporting capabilities while maintaining reproducibility. ViSEAGO is publicly available on https://forgemia.inra.fr/umr-boa/viseago.";"poster"
"Gui Raluca";"REndo: An R Package to Address Endogeneity Without External Instrumental Variables";"Endogeneity becomes a challenge when aiming to uncover causal relationships in empirical research. Reasons are manifold, i.e. omitted variables, measurement error or simultaneity. These might lead to the unwanted correlation between the independent variables and the error term of a statistical model. While external instrumental variables methods can be used to control for endogeneity, these approaches require additional information which is usually difficult to obtain. 

Internal instrumental variable (IIV) methods address this issue by treating endogeneity without the need of additional variables, taking advantage of the structure of the data. Implementations of IIV are rare. Thereby, we propose the R package ?REndo? that implements five instrument-free methods: the latent instrumental variables approach (Ebbes et al. 2005), the higher moments estimation (Lewbel 1997), the heteroskedastic error approach (Lewbel 2012), the joint estimation using copula (Park and Gupta 2012) and the multilevel GMM (Kim and Frees 2007). 

This talk will focus on both, the theory behind each of the five methods proposed as well as on the practical implementation using real and simulated data.";"oral presentation"
"Shin Hyesop";"Bridging agent-based modelling and R with nlrx: simulating pedestrian's long-term exposure to air pollution";"Agent-based modelling (ABM) is a bottom-up simulation for simulating actions and interactions between agents. This approach it is particularly useful when modelling human-environment interactions, such as pedestrian's cumulative exposure levels related to travel patterns. Until recently, possible ways to report results were either to bring the text file after simulating the model that is tedious and time-consuming, or to use packages where the codes can only access the ABM platform, which slows the simulation speed (especially for geospatial models). Here, we use a newly released nlrx package that improves the modelling speed, iterates multiple jobs, and provides algorithms for temporal sequence plotting. From our pre-built pedestrian exposure model of Gangnam, Seoul, we demonstrate sequences of pedestrian's health status in every 100 ticks using gganimate, and plot risk population change in geographical hierarchies. Finally, we will discuss our efforts to encourage geographers and modellers to use R as a platform to conduct ABM studies.";"oral presentation"
"Raviv Eran";"Forecast Combination in R";"Introducing the R package ForecastComb. The aim is to provide researchers and practitioners with a comprehensive implementation of the most common ways in which forecasts can be combined. The package in its current version covers 15 popular estimation methods for creating a combined forecasts ? including simple methods, regression-based methods, and eigenvector-based methods. It also includes useful tools to deal with common challenges of forecast combination (e.g., missing values in component forecasts, or multicollinearity), and to rationalize and visualize the combination results.";"oral presentation"
"Jombart Thibaut";"Reproducible data science to support outbreak responses: experience from the North Kivu Ebola outbreak";"The response to emerging disease outbreaks and health emergencies are increasingly data-driven, integrating various sources of information to improve
situational awareness in real time. Outbreak analytics face many of the modern data science challenges, and additional difficulties pertaining to the
emergency, low-resource settings characterising some of these outbreaks. In this presentation, I will outline some of these challenges, and a range of solutions
developed by the R Epidemics Consortium (RECON), an NGO dedicated to developing free analytics resources for health crises. In particular, we will discuss
different aspects relating to the deployment of robust, reliable reporting infrastructures in the 2019 Ebola outbreak in North Kivu, DRC. We will showcase
features of new R packages dedicated to data standardisation and cleaning (linelist), automated reporting (reportfactory), and offline alternatives to
online repositories such as CRAN and github for deploying R-based analysis environments (RECON deployer). I will conclude on how R can help strengthening
outbreak response capacities, and more generally humanitarian work, in low and middle income countries.";"oral presentation"
"Borms Samuel";"The R Package sentometrics to Compute, Aggregate and Predict with Textual Sentiment";"We provide a hands-on introduction to optimized textual sentiment indexation using the R package sentometrics. Driven by the need to unlock the potential of textual data, sentiment analysis is increasingly used to capture its information value. The sentometrics package implements an intuitive framework to efficiently compute sentiment scores of numerous texts, to aggregate the scores into multiple time series, and to use these time series to predict other variables. The workflow of the package is illustrated with a built-in corpus of news articles from The Wall Street Journal and The Washington Post to create a selection of interesting aggregated text-based indices, and use these to forecast expected stock market volatility.";"lightning talk"
"Rossi Marcelo";"Fuzzy-based rules R packages use in an Equine Infectious Anemia epidemical ODE model.";"Background: The Equine Infectious Anemia (EIA) is worldwide incurable disease affecting Equid family by contaminated blood transmissions, and it have been a major impact on the economy of the Brazilian Pantanal region. A fuzzy- and knowledge-based model to represent Equine Infectious Anemia virus infections by sharing of blood-contaminated needles was developed from literature and researcher's knowledge to study this type of virus infection. Methods: Fuzzy set and propositional fuzzy rules were employed to represent this ?contaminated needles force of viral infection? due the difficulty of values determination by experiments. To develop the system based on fuzzy rules, it used the minimum t-norm, Mandani's inferring t-conorms method, and centroid method to defuzzyfication operations. It applying fuzzy sets and nine propositional rules, this force of blood-contaminated needles infection was calculated. After, we assessed the simulation runs from an ODE epidemiological model employed to represent the viral infections and fuzzy rules constructed through fbrs, deSolve and pracma R packages. Conclusions: The results suggest, for the clinical concepts represented by fuzzy rules, the same EIA prevalence observed in the field over the past 40 years. So, this study showed two possible infection sources in Pantanal horse troops: one, from insect-vector, and another, iatrogenic.";"poster"
"Adin Aritz";"A shiny web application for disease mapping. Making easy the fit of spatio-temporal models.";"Spatial and spatio-temporal analyses of count data are crucial in epidemiology and other fields to provide accurate estimates of mortality and/or incidence risks, and unveil the underlying spatial and spatio-temporal patterns. However, fitting spatial and spatio-temporal models is not easy for non-expert users. Here, we present the interactive web application SSTCDapp for the analysis of spatial and spatio-temporal mortality (or incidence) data, which is addressed at https://emi-sstcdapp.unavarra.es/. The web application is designed to perform descriptive analyses in space and time of mortality risks or rates, and to fit an extensive range of fairly complex spatio-temporal models commonly used in disease mapping. The application is built with the R package shiny and relies on the well founded integrated nested Laplace (INLA) approximation technique for model fitting and inference. Unlike other software used in disease mapping, SSTCDapp provides an user-friendly interface that facilitates the fit of complex statistical models to non-experts users without the need of installing any software in their own computers, since all the analyses and computations are made in a powerful remote server. In addition, a desktop version is also available to run the application locally if needed, which avoids uploading the data to the online application fully guaranteeing data confidentiality.";"lightning talk"
"Onkelinx Thierry";"git2rdata: storing dataframes in a plain text format suitable for version control";"Base R has write.table() and read.table() to work with data in plain text files. Factors are stored as their labels, making them indistinguishable from characters and losing information on the levels. The git2rdata packages provides write_vc() which stores a dataframe as two plain text files: a tab separated file with the data and a metadata file in YAML format. The metadata stores the class of each variable and all other relevant metadata, e.g. the factor levels and their order. read_vc() reads the raw data using read.table() and restores the variables based on their metadata. Storing the metadata also allows to optimize the file storage, e.g. by storing factor indices rather than factor labels in the data file. This optimization can be turned of in case human readable data is preferred over smaller files. Git stores changes as row wise diffs. Swapping the order of two variables results in changing every single row of the plain text file. write_vc() avoids this be reordering the variables based on the existing metadata. Sorting the observations along user defined variables result in a stable row order. Metadata can be overridden if needed to accommodate a change in variables. git2rdata is useful to store and retrieve data in a reproducible workflow. Installation instructions, documentation and vignettes are available at https://inbo.github.io/git2rdata/";"oral presentation"
"Bodner Christoph";"Serverless Computing for R";"R is a great language for rapid prototyping and experimentation, but putting an R model in production is still more complex and time-consuming than it needs to be. With the growing popularity of serverless computing frameworks that offer Functions-as-a-Service (like AWS Lambda, Azure Functions) or Container-as-a-Service (ECS and ACI) we see a a huge chance to allow R developers to more easily deploy their code into production. We want to show you how you can use serverless computing to easily put models in production. We will discuss the pros and cons of various approaches and how we implemented a completely serverless data science platform for R in Microsoft Azure that you can arbitrarily scale (as long as your credit card allows:) up and down. While we come from an Azure background, porting the ideas over to AWS or Google Cloud should be straight forward.";"oral presentation"
"Rousseau David";"Ordinal clustering of seed populations with data extracted from RGB imaging and X-ray tomography";"Population of seeds with different genotypes are imaged in X-ray tomography before imbibition and with RGB imaging during imbibition. Morphological traits characterizing the shape and volume of suborgans are computed from the 3D X-ray images. Time of germination and germination speed is determined after processing RGB images. From these data a clustering based on K-mean and generalized mixture models is produced after dimension reduction with a principal component analysis. The analyzed genotypes are ordered from empirical knowledge of their agronomical values. The possibility to recover this ordinal relationship, without supervision, with the data extracted from the images is investigated. The purity of this ordinal clustering is analyzed with new simple metrics (distance class, genotype distance and associated standard deviation) made available under R functions. Fusion of data from RGB and X-ray tomography demonstrates good performances of prediction of the agronomical value. This is obtained on 7 genotypes of sugar beet with more than 10000 seeds analyzed.  This work received support from the French Government supervised by the ?Agence Nationale de la Recherche? in the framework of the program Investissements d'Avenir under Reference ANR-11-BTBR-0007 (AKER program).  ";"poster"
"Tryputsen Volha";"Streamlining complex analyses of in-vivo data with INVIVOLDA shiny application";"In vivo studies are crucial to the development of novel therapies. In vivo data is important for proof-of-concept validation, FDA applications and clinical trials. Appropriate data analysis and interpretation are essential in providing the knowledge about the drug efficacy and safety within a living organism. With drug discovery science moving forward at an ever-accelerating rate analyses software not always capable to offer appropriate analysis suit. In vivo scientists at Janssen R&D needed comprehensive analysis tool to conduct appropriate and efficient analyses of in vivo data to insure quality and speed of decision-making. INVIVOLDA shiny application was developed to fulfill the gap. INVIVOLDA offers: powerful Linear Mixed Effect modeling for evaluating differences between treatments over time; Buckley-James method is used to infer about mean treatment differences when response is non-linear in the presence of censoring; survival analysis enables evaluation of time-to-event data. Furthermore, interactive and animated graphics allow users to conduct independent and thorough data explorations. INVIVOLDA allows streamlining complex statistical analyses of in-vivo longitudinal data by utilizing modern graphics, appropriate modelling techniques and report generation and insures efficient, traceable and reproducible in vivo research and data-driven decision making.";"lightning talk"
"Lopez-Lopera Andres";"lineqGPR: An R Package for Gaussian Process Regression Modelling with Linear Inequality Constraints";"Introducing inequality constraints in Gaussian processes (GP) models can lead to more accurate uncertainty quantification in a great variety of applications. Based on the framework detailed in López-Lopera et al. [SIAM/ASA JUQ, 6(03): 1224-1255, 2018], lineqGPR is an R package for GP regression modelling with inequality constraints. It can be used to create GP models under boundedness, monotonicity, convexity constraints or a combination of these. Furthermore, it also allows users to design their own sets of linear inequalities. lineqGPR contains all the typical features of classic GP libraries, e.g. the parameter estimation via maximum likelihood, support for noisy observations. Finally, recent developments allow the implementation of additive GP models under linear inequality constraints leading to models that can be used to the case of thousands of observations and to high dimensions.

lineqGPR is available on CRAN as an open-source software licensed under GNU GPL-3. It is based on previous R developments produced by the Deep Inside Computer Experiments (Dice) and ReDice Consortiums (e.g. DiceKriging, DiceDesign, kergp), but incorporating structures of classic GP libraries from other platforms (e.g. the GPmat toolbox from MATLAB, and the GPy library from Python). This work was conducted within the frame of the Chair in Applied Mathematics OQUAIDO.";"poster"
"Zeileis Achim";"colorspace: A Toolbox for Manipulating and Assessing Color Palettes";"The R package ""colorspace"" (http://colorspace.R-Forge.R-project.org/) provides a flexible toolbox for selecting individual colors or color palettes, manipulating these colors, and employing them in statistical graphics and data visualizations. In particular, the package provides a broad range of color palettes based on the HCL (Hue-Chroma-Luminance) color space. The three HCL dimensions have been shown to match those of the human visual system very well, thus facilitating intuitive selection of color palettes through trajectories in this space.

Namely, general strategies for three types of palettes are provided: (1) Qualitative for coding categorical information, i.e., where no particular ordering of categories is available and every color should receive the same perceptual weight. (2) Sequential for coding ordered/numeric information, i.e., going from high to low (or vice versa). (3) Diverging for coding ordered/numeric information around a central neutral value, i.e., where colors diverge from neutral to two extremes.

To aid selection and application of these palettes the package provides scales for use with ggplot2; shiny (and tcltk) apps for interactive exploration (see also http://hclwizard.org/); visualizations of palette properties; accompanying manipulation utilities (like desaturation and lighten/darken), and emulation of color vision deficiencies.

";"oral presentation"
"Liquet Benoit";"PLS for Big Data: A Unified Parallel Algorithm for Regularized Group PLS";"Partial Least Squares (PLS) methods have been heavily exploited to analyze the association between two blocks of data. These powerful approaches can be applied to data sets where the number of variables is greater than the number of observations and in the presence of high collinearity between variables.
Different sparse versions of PLS have been developed to integrate multiple data sets while simultaneously selecting the contributing variables. Sparse modeling is a key factor in obtaining better estimators and identifying associations between multiple data sets. The cornerstone of the sparse PLS methods is the link between the singular value decomposition (SVD) of a matrix (constructed from deflated versions of the original data) and least squares minimization in linear regression. We review four popular PLS methods for two blocks of data. A unified algorithm is proposed to perform all four types of PLS including their regularised versions. We present various approaches to decrease the computation time and show how the whole procedure can be scalable to big data sets. The bigsgPLS R package implements our unified algorithm and is available at https://github.com/matt-sutton/bigsgPLS";"oral presentation"
"Lee Gi-Seop";"Integrated Operational Modeling of the Harmful Algal Blooms(HABs) Using R";" Harmful algal blooms(HABs) are critical issues on the coastal ocean. Government agencies and ocean scientists are struggling to reduce the damage of coastal aquaculture by HABs. As a part of the effort, ocean scientists are conducting researches on how to cope with HABs and how to predict it before HABs occur. In this study, a model to predict the route and range of HABs was constructed to prevent damage caused by HABs. As with most ecological models, the major parts of the HABs model including physical, chemical, and biological factors are fundamental, but technical processes for efficient operation of the model are also important. The open source language, R, has a great advantage in performing comprehensive modeling research because a wide range of libraries which are well-verified can be available. Whole modeling processes including data acquisition using API(Application Programming Interface) from government, localized physical model data input, rasterizing and computing spatial data and visualization of prediction results were integrated into the R and implemented with satisfaction. The integrated R code calculates the 72-hour forecast results everyday through the batch process.";"poster"
"Laa Ursula";"Visualising high-dimensional data: new developments of the tourr package using Shiny and plotly";"The tour is a tool for the visualisation of multi-dimensional structures by means of dynamic projections, implemented the R package tourr (Wickham et al., 2011). Availability in R means that we can readily extend it with features from other packages. In this talk I will show how we can use Shiny and plotly to create a graphical interface, enhancing usability for non-experts and allowing for interactive features like linked brushing in the tour display, stopping and restarting with new settings, or hover text information on data points. In addition I will show how index functions scoring the ?interestingness? of 2D projections, available in various R packages, can be combined with the guided tour, steering projections towards more interesting views of the data.";"oral presentation"
"Allen Brandon";"A Significant Difference: How the Institutional Research Team at the University of Chicago Booth School of Business uses R to Optimize and Institutionalize Analytics";"I propose to present how the Institutional Research team at the University of Chicago Booth School of Business has leveraged R to change the landscape of institutional decision making. The poster focuses on four areas: statistics, optimization, institutionalization, and future use. How we have used R: Statistics  Significance testing Statistical modeling:    Multiple linear regression Logistic regression Elastic net regression  Machine learning:  k-means clustering k-NN Random forests   Optimization  Codified processes that are easy to review and revise Cleaned data/engineered features Saved significant amounts of time Automated API interaction  Institutionalization  Founded the University of Chicago Staff R User Group Delivered cross-departmental and executive recommendations derived from R Published interactive dashboards that are reliant on R Engineered and led institution-wide data analysis trainings Advocated for R by collaborating with Chicago-area user groups  How we plan to use R in the future:  Continue to share production-quality code across the university Encourage and sustain further use of Shiny Further develop internal Natural Language Processing applications";"poster"
"Dolphin Alex";"trivago: Data analysis in big business";"Introduction - trivago: Data analysis in big business
Internet business brings huge amount of data and daily challenges. This presentation is about 2 challenges we meet daily in trivago. Anomaly classification and reporting in a user-friendly format across departments for various topics. Peter Brejcak - Anomaly detection in trivago:
For us it is very important to correctly detect nonhuman traffic or detect anomalies. We are going to share our real example of an obvious anomaly with business impact:
How was the anomaly detected?
What caused the anomaly? Are we able to answer this confidently?
What action should we take?
How can, and can't R help us? Alex Dolphin - Muffin Tin: Our template in R for beautiful, lightning-fast analyses and reports:
We maintain high-quality templates for performing analyses in R and producing reports in RMarkdown using Cookiecutter (based in Python). 
We no longer spend time setting up Hadoop connections in R or creating RMarkdown from scratch. We can focus on selecting the right data, analysing, and producing great visualisations.
As a result, our analyses are readable, reproducible, and extendable, and can be run using a single command!";"lightning talk"
"Gehrke Matthias";"Teaching Statistics for Data Literacy by the means of R mosaic and R Markdown";"Data and data analysis has never been as ubiquitous as it is today. However, such data abundance has triggered a surge in the complexity of data analyses. Therefore, statistical education can and should address both the current challenges and the opportunities of data analysis more thoroughly than it is currently the case.

Educators should teach all students ""data literacy"" which has been defined as ""the ability to collect, manage, evaluate, and apply data in a critical manner"" (Ridsdale et al. 2015). But as Gould (2017) already phrased it: data literacy ""is Statistical Literacy"".

The didactical concept we present here builds on three aspects - wherever possible with real-life applications. First, we employ concepts of modeling (Stigler & Son, 2018) including simulation based inference (Chance et al. 2016) using the R package mosaic (Pruim et al. 2017). It provides a simple and consistent coding interface for graphical and numerical modeling. Second, we show our students how to render an analysis reproducibly by using R Markdown (Baumer et al. 2014). Third, we demonstrate core theoretical concepts in interactive shiny apps (Doi et al. 2016). Following Wild et al. (2018), we hope to help our students ""to be able to learn about how our world operates using data, all the while acknowledging sources and levels of uncertainty"".

In this talk we will present our experiences and a review of the lessons learned.";"poster"
"Chan Rosa";"Comparing Mechanistic and Pre-clinical Predictions of Volume of Distribution on a Large Set of Drugs";"Volume of distribution at steady state (Vdss) is a fundamental pharmacokinetic (PK) parameter and is believed to be predominantly driven by passive processes and physicochemical properties of the compound. For human prediction, Vdss can be estimated using in silico mechanistic methods or scaled from Vdss values obtained from preclinical species. A systematic comparison of these methods was performed to assess the relative predictivity with a sufficiently large data set, which is lacking in the current literature. The objective of this study is to compare preclinical and human Vdss with predictions resulting from a mechanistic in silico model based on experimental in vitro properties for a large dataset including over 150 marketed drugs. This assessment indicated that overall the in silico mechanistic model presented by Rodgers and Rowland is comparably accurate or superior to Vdss predictions based on direct proportionality between different species. While anions, neutral compounds and strong bases can be predicted with satisfactory accuracy, the data suggest that predictions for weak bases are generally poor. These results illustrate the great potential of mechanistic in silico models to predict Vdss, which do not rely on in vivo data and are, consequently, significantly time and resource saving.  ";"poster"
"Tamir Noa";"The truth about satRdays";"9 satRday events were organised since UseR! 2018. Join us for a panel discussoin with a diverse group of organisers from across the world. You will learn about why they chose to volunteer their time, how they approached satRday's mission, what they have learnt from organising the event, how satRday impacted their local R community, and more!";"oral presentation"
"Pantera Laurent";"Creation of a generic IHM embedding data processing analysis for physics experimenters developed with R, rjava, shiny, htmlidgets and plotly tools";"An important aspect in data processing is the capability to use R for an interactive data visualization. The place where interactions are the most frequent is in a web page. And Javascript is powerfull for adding behavior to a web page. To use it, all you need to do is to put the code in a HTML document and tell the browser that it is Javascript. The principal bridge between these two tools is the htmlwidgets package. In JAVA programming, JavaFX framework provides us a WebView component that can be used as an embedded web browser in a JavaFX application. This component handles most of the work of web browsing, for example in own concern, rendering the HTML content. Another advantage of embedding a web browser in the JAVA HMI is to offer the possibility to insert shiny applications and hence gaining a more complete control on the interactivity. The poster describes the structure of the computer application developped to facilitate the sharing of analysis tools of the experimentalists working on the CABRI nuclear experimental pulse reactor at the CEA/Cadarache. The software development has been realised in order to enable each experimentalist to integrate their own contributions without concerted efforts in term of HMI and OOP programming. The experimentalists only have to tweak the R scripts outside the application and edit parameters files for their HMI incorporation.";"poster"
"Acion Laura";"Insights from the recent R community development and growth in Latin America";"This talk summarizes some of the recent work that put Latin America (LatAm) in the international R user map. In January 2017, R-Ladies Buenos Aires (BA) was founded. R-Ladies BA encouraged the foundation of other R-Ladies groups in the region (e.g., Santa Rosa, Santiago). In two years, LatAm went from one to 29 R-Ladies active groups. English-only materials can be a barrier to R. Hence, LatAm R-Ladies led efforts to translate into Spanish: R for Data Science (es.r4ds.hadley.nz), R-Ladies code of conduct and policies (bit.ly/2UwP79x), and R Consortium 2017 (bit.ly/2Tpt8RR) and RStudio 2018 surveys. The creation of new regional conferences was another R-Ladies-led effort. Thanks to the R-Ladies network, LatinR (latin-r.com) got rapidly started and LatAm had its first SatRDay. Among other achievements, these events impulsed the regional community in the form of new and diverse R user groups (e.g., Rosario, Montevideo). In a nutshell, in the last two years, the LatAm R user community has seen fast growth and regrouping, mainly spearheaded by R-Ladies. This presentation details key aspects of this process and seeks to inspire other R regional communities worldwide.";"oral presentation"
"Martin Kieran";"R in Pharma: A tailored approach to converting programmers to R in an industry resistant to change";"The pharmaceutical industry has historically, overwhelmingly made use of one software package, SAS. Almost every submission made to regulatory agencies such as the FDA and the EMA have been made using SAS code, and SAS data formats. For those of us who are enthusiastic about promoting usage of R, this can lead to an uphill struggle, but things are changing. R has become more and more popular, and appetite for R usage is growing. In this talk I will discuss some of the efforts to promote R within Roche, with a focus on two particular methods: - Targeted training, focused on problems programmers have to solve every day - Tidyverse training, and a focus on functional programming - In house data and as close to real examples as possible, to show direct applications for work in R - New R packages. Multiple different packages have been developed to support different activities. In this talk I will focus primarily on diffdf, a package that is available on CRAN, which used allows detailed dataset comparison, meeting an unmet need";"lightning talk"
